"Npop2","Npop3","Npop4","Npop5","Npop6","Npop7","Npop8","Npop9","Npop10","Npop11","Npop12","Npop13","Npop14","Npop15"
0.930894308943089,0.991869918699187,0.99390243902439,0.997967479674797,1,1,0.997967479674797,1,1,1,1,1,1,1
0.965447154471545,0.989837398373984,0.995934959349594,0.997967479674797,1,1,1,1,1,1,1,1,1,1
0.971544715447154,0.967479674796748,0.991869918699187,1,1,1,1,1,1,1,1,1,1,1
0.971544715447154,0.989837398373984,1,0.995934959349594,0.997967479674797,0.997967479674797,0.997967479674797,1,1,1,1,1,1,1
0.975609756097561,0.971544715447154,0.991869918699187,0.995934959349594,1,0.997967479674797,1,1,1,1,1,1,1,1
0.967479674796748,0.981707317073171,0.991869918699187,1,1,0.997967479674797,1,1,1,1,1,1,1,1
0.955284552845528,0.991869918699187,0.997967479674797,0.995934959349594,1,1,1,1,1,1,1,1,1,1
0.961382113821138,0.99390243902439,0.997967479674797,0.995934959349594,1,1,1,1,1,1,1,1,1,1
0.957317073170732,0.997967479674797,0.995934959349594,1,1,1,0.997967479674797,1,1,1,1,1,1,1
0.965447154471545,0.98780487804878,1,0.997967479674797,1,1,1,1,1,1,1,1,1,1
0.991869918699187,0.991869918699187,0.995934959349594,0.995934959349594,1,1,1,1,1,1,1,1,1,1
0.965447154471545,1,0.991869918699187,1,1,1,1,1,1,1,1,1,1,1
0.991869918699187,0.98780487804878,0.997967479674797,0.99390243902439,1,1,1,1,1,1,1,1,1,1
0.98780487804878,0.983739837398374,0.991869918699187,0.997967479674797,0.997967479674797,1,1,1,1,1,1,1,1,1
0.979674796747967,0.989837398373984,0.995934959349594,0.995934959349594,1,1,1,1,1,1,1,1,1,1
0.975609756097561,0.99390243902439,0.997967479674797,1,1,0.997967479674797,1,1,1,1,1,1,1,1
0.957317073170732,0.975609756097561,1,0.997967479674797,0.997967479674797,1,1,1,1,1,1,1,1,1
0.963414634146341,0.997967479674797,0.995934959349594,0.995934959349594,0.997967479674797,1,1,1,1,1,1,1,1,1
0.98780487804878,0.995934959349594,0.997967479674797,0.997967479674797,1,1,1,1,1,1,1,1,1,1
0.969512195121951,0.995934959349594,0.991869918699187,0.995934959349594,0.997967479674797,0.997967479674797,1,1,1,1,1,1,1,1
