"Npop2","Npop3","Npop4","Npop5","Npop6","Npop7","Npop8"
0.0762,0.1386,0.0808,0.0831,0.0547,0.1052,0.095
0.018,0.0708,0.0968,0.0949,0.087,0.1106,0.095
0.1266,0.074,0.048,0.051,0.0473,0.0892,0.095
0.1275,0.0259,0.0633,0.0459,0.1084,0.0892,0.095
0.0773,0.0549,0.047,0.1151,0.0558,0.0579,0.095
0.1664,0.1433,0.0923,0.0616,0.1275,0.1052,0.095
0.0773,0.1433,0.0808,0.0581,0.0547,0.1042,0.095
0.004,0.1111,0.0979,0.1278,0.0999,0.1042,0.095
0.004,0.0488,0.0547,0.0699,0.0558,0.1042,0.095
0.0286,0.0184,0.1084,0.1065,0.0547,0.0958,0.095
0.1266,0.0708,0.0895,0.1201,0.1047,0.0579,0.095
0.0438,0.1455,0.1208,0.1344,0.1069,0.1042,0.095
0.0953,0.1562,0.1445,0.0536,0.0709,0.0892,0.095
0.166,0.0739,0.1108,0.119,0.1103,0.0892,0.095
0.0684,0.1717,0.1123,0.0355,0.0654,0.1042,0.095
0.09,0.1717,0.1337,0.1284,0.0965,0.1052,0.095
0.0654,0.0766,0.0712,0.1144,0.0842,0.1106,0.095
0.1872,0.094,0.1108,0.0982,0.1148,0.0892,0.095
0.0327,0.0572,0.1123,0.1046,0.1001,0.1004,0.095
0.1507,0.1314,0.0531,0.0426,0.0558,0.0579,0.095
0.0466,0.1018,0.1208,0.051,0.0986,0.1042,0.095
-0.0013,0.1717,0.1224,0.1358,0.0623,0.0945,0.095
0.1872,0.0674,0.0857,0.11,0.0623,0.1052,0.095
0.0438,0.1433,0.1337,0.0717,0.1069,0.1106,0.095
-0.0013,0.1975,0.0397,0.1295,0.1047,0.0958,0.095
0.0438,0.023,0.1546,0.0825,0.1122,0.1004,0.095
-0.0013,0.1179,0.0694,0.1104,0.087,0.0958,0.095
0.0956,0.1386,0.042,0.0831,0.1001,0.1052,0.095
0.0438,0.1179,0.0826,0.1471,0.0654,0.1052,0.095
0.0666,0.0674,0.1361,0.0937,0.1161,0.1004,0.095
0.0769,0.0171,0.0923,0.1471,0.1122,0.0958,0.095
0.1275,0.1455,0.0509,0.0355,0.0999,0.0958,0.095
0.004,0.0422,0.0633,0.0949,0.0986,0.0579,0.095
0.0654,0.1433,0.1202,0.1278,0.0965,0.0579,0.095
0.0603,0.1011,0.1449,0.0954,0.0842,0.0958,0.095
0.0773,0.1433,0.1265,0.0537,0.1122,0.1106,0.095
0.1266,0.0437,0.1278,0.1172,0.1148,0.1042,0.095
0.166,0.0707,0.0547,0.1295,0.1069,0.1106,0.095
0.0654,0.0363,0.0528,0.11,0.1127,0.1004,0.095
0.0684,0.0259,0.1323,0.0654,0.0842,0.0579,0.095
0.018,0.0259,0.0306,0.0954,0.1084,0.0579,0.095
0.0956,0.1179,0.1062,0.0639,0.0547,0.0945,0.095
0.0773,0.1975,0.0324,0.1144,0.1127,0.0892,0.095
0.0773,0.0549,0.0604,0.1065,0.1056,0.1042,0.095
0.0603,0.0366,0.0589,0.1428,0.1069,0.1004,0.095
0.0684,0.1292,0.0713,0.0591,0.0709,0.0579,0.095
0.0438,0.1037,0.048,0.1104,0.1069,0.1106,0.095
0.004,0.0488,0.0509,0.0591,0.1069,0.0579,0.095
0.004,0.12,0.0306,0.1133,0.1127,0.1106,0.095
0.0438,0.0663,0.0604,0.1133,0.0487,0.0892,0.095
0.0603,0.1216,0.1439,0.0717,0.1228,0.0945,0.095
0.0286,0.1785,0.1321,0.1144,0.0473,0.1004,0.095
0.0209,0.0707,0.1323,0.1151,0.0623,0.1004,0.095
0.0438,0.0846,0.1757,0.0584,0.1037,0.1042,0.095
0.1266,0.1386,0.0713,0.1232,0.1001,0.0945,0.095
0.018,0.0587,0.1202,0.1284,0.1127,0.1106,0.095
0.0209,0.1433,0.1489,0.1086,0.0623,0.0945,0.095
0.1664,0.0488,0.0547,0.119,0.1047,0.1052,0.095
0.228,0.1609,0.0589,0.1471,0.1056,0.0579,0.095
0.0209,0.0448,0.1489,0.096,0.0709,0.1004,0.095
0.0762,0.1562,0.1439,0.1295,0.12,0.1004,0.095
0.0956,0.1717,0.0794,0.1172,0.1047,0.1042,0.095
0.0438,0.0587,0.1161,0.1232,0.1148,0.1042,0.095
0.0573,0.1562,0.0976,0.119,0.1161,0.0892,0.095
0.018,0.0708,0.0713,0.1046,0.1161,0.1106,0.095
0.0438,0.1314,0.0895,0.0458,0.1127,0.0958,0.095
0.0654,0.0184,0.1265,0.0584,0.1064,0.0958,0.095
0.228,0.0708,0.1255,0.1471,0.1064,0.0579,0.095
0.0762,0.1185,0.0604,0.1232,0.1122,0.1052,0.095
0.1664,0.1975,0.0443,0.0584,0.1047,0.0892,0.095
0.1507,0.0549,0.1062,0.0949,0.1047,0.1052,0.095
0.0573,0.1179,0.1757,0.1284,0.0986,0.0579,0.095
0.0515,0.0707,0.0923,0.1278,0.0487,0.0892,0.095
0.0286,0.0184,0.0509,0.1104,0.1228,0.0945,0.095
0.004,0.1008,0.1224,0.1194,0.1275,0.0579,0.095
0.1664,0.0572,0.047,0.0369,0.1148,0.0958,0.095
0.018,0.1629,0.1265,0.1471,0.0558,0.0945,0.095
0.0573,0.0259,0.0424,0.0937,0.1127,0.1106,0.095
0.0654,0.074,0.131,0.0537,0.0558,0.0958,0.095
0.1266,0.0488,0.1361,0.0476,0.1069,0.0945,0.095
0.0515,0.1008,0.0604,0.0977,0.0654,0.1004,0.095
0.0773,0.0619,0.0694,0.1252,0.0965,0.0945,0.095
0.1266,0.0708,0.0923,0.0654,0.12,0.1106,0.095
0.1275,0.1216,0.1546,0.0654,0.1069,0.1004,0.095
-0.0013,0.0619,0.0443,0.0937,0.1103,0.0579,0.095
0.0573,0.038,0.0713,0.1344,0.0842,0.0892,0.095
0.0209,0.0366,0.0857,0.0687,0.0965,0.1052,0.095
0.0654,0.046,0.1084,0.0369,0.0547,0.1042,0.095
0.0773,0.0707,0.0547,0.0949,0.0558,0.0958,0.095
0.0515,0.0549,0.1323,0.1262,0.0623,0.0945,0.095
0.0953,0.0616,0.048,0.11,0.1001,0.1004,0.095
0.0327,0.1111,0.1108,0.1144,0.0487,0.1052,0.095
0.0769,0.0708,0.0794,0.0616,0.1127,0.1106,0.095
0.09,0.1455,0.0424,0.1295,0.0558,0.1042,0.095
0.1266,0.0363,0.1208,0.119,0.0547,0.0892,0.095
-0.0013,0.0549,0.0713,0.0639,0.0709,0.0579,0.095
0.018,0.0366,0.1084,0.0591,0.12,0.1106,0.095
0.0666,0.0572,0.0597,0.119,0.087,0.1106,0.095
0.0286,0.12,0.0923,0.1358,0.1084,0.0579,0.095
0.0762,0.0184,0.0857,0.0982,0.0623,0.1106,0.095
0.0573,0.0707,0.1449,0.1144,0.1047,0.1042,0.095
0.1275,0.1179,0.0456,0.1216,0.1275,0.0958,0.095
0.228,0.0171,0.0923,0.1252,0.1161,0.1042,0.095
0.0666,0.1975,0.0604,0.1194,0.1148,0.0945,0.095
0.1872,0.0846,0.0424,0.0687,0.0623,0.1052,0.095
0.0286,0.0488,0.048,0.1216,0.0487,0.0579,0.095
0.0466,0.0708,0.1453,0.0954,0.1103,0.1106,0.095
0.0209,0.0754,0.0531,0.0537,0.0999,0.1004,0.095
0.228,0.0366,0.1489,0.0815,0.1161,0.0579,0.095
0.0769,0.0754,0.0923,0.1471,0.1103,0.1042,0.095
0.0769,0.1292,0.1453,0.0825,0.0473,0.0958,0.095
0.0573,0.1562,0.1108,0.1216,0.0999,0.1004,0.095
0.0466,0.1975,0.0976,0.0536,0.0999,0.1004,0.095
0.034,0.1633,0.1278,0.1278,0.0487,0.0945,0.095
0.0773,0.0739,0.0456,0.1172,0.1064,0.0945,0.095
0.004,0.094,0.1419,0.0699,0.0547,0.0945,0.095
0.0762,0.1562,0.1419,0.0687,0.1127,0.1106,0.095
0.0438,0.0674,0.131,0.0639,0.0986,0.0579,0.095
0.1275,0.0619,0.1123,0.1046,0.1127,0.1052,0.095
0.0953,0.1111,0.0604,0.1295,0.0547,0.0892,0.095
0.0666,0.1717,0.1757,0.1252,0.1161,0.1004,0.095
0.0286,0.1785,0.1265,0.0825,0.1103,0.0945,0.095
0.1664,0.0619,0.1224,0.0639,0.0976,0.0945,0.095
0.004,0.0184,0.06,0.1104,0.0654,0.1106,0.095
0.166,0.1434,0.0528,0.0699,0.1275,0.0945,0.095
0.0773,0.0284,0.0509,0.0687,0.1122,0.1042,0.095
-0.0013,0.1562,0.0361,0.0831,0.1122,0.0892,0.095
0.0603,0.0171,0.1278,0.0687,0.12,0.1042,0.095
0.1872,0.023,0.0311,0.1151,0.1228,0.0945,0.095
-0.0013,0.0448,0.0589,0.0825,0.0986,0.0945,0.095
0.0762,0.0846,0.0968,0.1262,0.1047,0.1004,0.095
0.1275,0.0437,0.0694,0.1284,0.1122,0.0958,0.095
0.0603,0.0707,0.0589,0.0815,0.1001,0.1042,0.095
0.0603,0.0171,0.1255,0.0536,0.1064,0.0945,0.095
0.0953,0.0171,0.1419,0.1471,0.1084,0.1004,0.095
0.0327,0.0549,0.0713,0.0687,0.1275,0.0579,0.095
0.0603,0.1037,0.1323,0.096,0.0842,0.1106,0.095
0.1507,0.0619,0.047,0.1295,0.0547,0.1004,0.095
0.0684,0.1386,0.06,0.0591,0.1103,0.1106,0.095
0.0666,0.1629,0.131,0.0355,0.1148,0.0958,0.095
0.1872,0.0549,0.0965,0.1168,0.0842,0.0945,0.095
0.0654,0.1629,0.1489,0.11,0.1122,0.1042,0.095
0.0603,0.0846,0.047,0.0581,0.1001,0.0958,0.095
0.0466,0.1434,0.042,0.0459,0.0842,0.1052,0.095
0.0603,0.056,0.0531,0.1295,0.0986,0.0958,0.095
0.0953,0.1633,0.0747,0.0458,0.0842,0.0892,0.095
0.0573,0.1179,0.0589,0.1428,0.1103,0.0958,0.095
0.0762,0.1008,0.0633,0.1344,0.0623,0.0579,0.095
0.0773,0.1018,0.1202,0.0476,0.1056,0.1042,0.095
0.034,0.1455,0.0694,0.1194,0.12,0.1052,0.095
0.0666,0.0572,0.042,0.1344,0.0547,0.0945,0.095
0.0327,0.023,0.0857,0.0355,0.1047,0.1052,0.095
0.0956,0.0184,0.0237,0.1428,0.1037,0.1106,0.095
0.0209,0.056,0.0976,0.1065,0.1275,0.0579,0.095
0.1266,0.0284,0.0306,0.11,0.0558,0.0892,0.095
0.1266,0.1179,0.1062,0.0825,0.0623,0.1106,0.095
0.1275,0.038,0.1208,0.0982,0.0487,0.1106,0.095
0.0956,0.0448,0.1546,0.1232,0.1127,0.0892,0.095
-0.0013,0.0422,0.1445,0.1151,0.1122,0.1004,0.095
0.0327,0.0572,0.1255,0.1262,0.1161,0.0579,0.095
0.004,0.0397,0.0456,0.1428,0.0473,0.0579,0.095
0.1664,0.1292,0.1361,0.1144,0.0709,0.1042,0.095
0.0666,0.1037,0.1337,0.1046,0.1127,0.1052,0.095
0.228,0.0663,0.1445,0.0937,0.12,0.1106,0.095
0.0573,0.1975,0.1145,0.0584,0.1148,0.0579,0.095
0.1275,0.0708,0.1255,0.11,0.1069,0.1004,0.095
0.018,0.056,0.0578,0.0717,0.1103,0.1052,0.095
0.0438,0.056,0.0712,0.0687,0.1275,0.0945,0.095
0.0956,0.1018,0.0578,0.1172,0.1001,0.0892,0.095
0.004,0.1562,0.1439,0.1104,0.0487,0.0945,0.095
0.1275,0.2062,0.1757,0.051,0.1127,0.0579,0.095
0.0762,0.074,0.0547,0.1104,0.1161,0.0958,0.095
0.018,0.1629,0.1453,0.1104,0.0654,0.0579,0.095
0.0654,0.0587,0.0712,0.0815,0.1275,0.1042,0.095
0.1664,0.038,0.0578,0.1232,0.0986,0.0579,0.095
0.0654,0.1386,0.1123,0.0982,0.1161,0.1106,0.095
0.0654,0.1629,0.0965,0.0355,0.0976,0.1004,0.095
0.166,0.0549,0.0547,0.0949,0.0487,0.1106,0.095
0.0573,0.1609,0.0633,0.1295,0.1069,0.1106,0.095
0.018,0.0619,0.0965,0.1104,0.1122,0.0579,0.095
0.0327,0.1037,0.1215,0.0581,0.0986,0.0958,0.095
-0.0013,0.1011,0.1757,0.1172,0.0487,0.1042,0.095
0.0762,0.1633,0.0979,0.0616,0.0976,0.0945,0.095
0.0654,0.1008,0.1255,0.0458,0.1127,0.0958,0.095
0.0684,0.0363,0.1278,0.1144,0.1148,0.0892,0.095
0.0438,0.0674,0.047,0.0458,0.0558,0.1052,0.095
0.166,0.0448,0.1265,0.1194,0.0654,0.1106,0.095
0.0684,0.094,0.1398,0.0717,0.1064,0.1004,0.095
0.0666,0.0397,0.0528,0.1295,0.0986,0.0892,0.095
0.1275,0.1629,0.0456,0.0369,0.1056,0.1042,0.095
0.228,0.0616,0.1445,0.0949,0.0965,0.1042,0.095
0.0286,0.0397,0.0397,0.1262,0.1103,0.0579,0.095
0.166,0.1629,0.0456,0.0581,0.0842,0.1042,0.095
0.0666,0.0707,0.1337,0.1104,0.12,0.0958,0.095
0.0466,0.1433,0.0712,0.1262,0.0473,0.0945,0.095
0.0654,0.0171,0.0712,0.1104,0.1047,0.1004,0.095
0.0573,0.0708,0.1739,0.0591,0.1037,0.0579,0.095
0.1266,0.1433,0.1108,0.1104,0.0558,0.0945,0.095
0.0654,0.0846,0.1445,0.0616,0.1001,0.1004,0.095
0.1872,0.0424,0.055,0.1252,0.0487,0.1052,0.095
0.018,0.0619,0.0923,0.1262,0.1084,0.0945,0.095
0.09,0.0184,0.0509,0.1168,0.1084,0.1004,0.095
0.166,0.0448,0.1062,0.0831,0.1275,0.1042,0.095
0.228,0.1111,0.1449,0.1194,0.1122,0.1042,0.095
0.0953,0.0754,0.0597,0.1284,0.1001,0.0892,0.095
0.1266,0.1037,0.0443,0.0591,0.1069,0.0579,0.095
0.0666,0.038,0.0397,0.1172,0.0965,0.0945,0.095
0.1664,0.0616,0.1361,0.095,0.1148,0.0945,0.095
0.0603,0.0616,0.0713,0.0619,0.1161,0.0958,0.095
0.034,0.0619,0.0589,0.1201,0.087,0.0945,0.095
0.1664,0.0572,0.168,0.0581,0.0654,0.1052,0.095
0.0466,0.0259,0.1161,0.119,0.0487,0.1052,0.095
0.0466,0.12,0.1161,0.0591,0.0623,0.1052,0.095
0.0769,0.0397,0.0361,0.1295,0.087,0.1004,0.095
0.1664,0.0366,0.0306,0.0949,0.1148,0.1052,0.095
0.1872,0.0572,0.168,0.096,0.1069,0.0579,0.095
0.0209,0.074,0.0712,0.0949,0.1056,0.1052,0.095
0.228,0.0619,0.0808,0.1144,0.1064,0.1106,0.095
0.0769,0.1111,0.0857,0.0982,0.1037,0.1042,0.095
-0.0013,0.2062,0.0712,0.0591,0.1069,0.1042,0.095
0.1507,0.056,0.1265,0.0937,0.1037,0.1042,0.095
0.0209,0.0707,0.0895,0.051,0.1037,0.0958,0.095
0.0603,0.1386,0.1084,0.1252,0.0558,0.1106,0.095
0.0466,0.0184,0.0443,0.0687,0.1001,0.0958,0.095
0.0438,0.1386,0.1278,0.0581,0.0986,0.1004,0.095
0.1275,0.0587,0.0531,0.0476,0.1275,0.1106,0.095
0.1275,0.0619,0.1321,0.1065,0.1122,0.1042,0.095
0.034,0.094,0.055,0.1344,0.0487,0.1052,0.095
0.0654,0.0708,0.1739,0.096,0.0558,0.1052,0.095
0.0515,0.1609,0.0597,0.0584,0.0976,0.1052,0.095
0.1872,0.1037,0.1546,0.1232,0.0487,0.0892,0.095
0.0573,0.0708,0.0712,0.1262,0.0709,0.0945,0.095
0.018,0.1314,0.1361,0.1168,0.1103,0.1106,0.095
0.09,0.1314,0.1445,0.0687,0.1064,0.0579,0.095
0.0654,0.0766,0.0976,0.0954,0.12,0.1042,0.095
0.0769,0.0616,0.0324,0.0687,0.0842,0.0945,0.095
0.0654,0.0674,0.0857,0.0977,0.0654,0.0579,0.095
0.1266,0.0422,0.1202,0.0476,0.1275,0.0958,0.095
0.0684,0.0846,0.0747,0.0584,0.0842,0.0892,0.095
0.1266,0.0754,0.1489,0.1144,0.1069,0.0945,0.095
0.228,0.1028,0.1419,0.1344,0.0547,0.0892,0.095
0.0762,0.056,0.1453,0.051,0.1037,0.1004,0.095
0.0773,0.0846,0.0826,0.051,0.0986,0.1106,0.095
0.0654,0.1609,0.0713,0.0982,0.1275,0.0945,0.095
0.0603,0.0754,0.131,0.0584,0.1161,0.1106,0.095
0.0327,0.1011,0.047,0.0619,0.0976,0.1052,0.095
0.0762,0.1386,0.0713,0.0949,0.1047,0.0892,0.095
0.0956,0.0846,0.1321,0.1065,0.1069,0.0892,0.095
0.0684,0.0171,0.0808,0.0937,0.0547,0.1052,0.095
0.1872,0.0674,0.1546,0.0937,0.0965,0.0579,0.095
-0.0013,0.0549,0.168,0.0584,0.0654,0.1042,0.095
0.166,0.0587,0.1208,0.1232,0.12,0.1042,0.095
0.0762,0.1018,0.042,0.1194,0.1122,0.1042,0.095
0.0466,0.0422,0.0747,0.0654,0.1069,0.1042,0.095
0.1266,0.0754,0.1202,0.0355,0.1001,0.0945,0.095
0.034,0.056,0.1208,0.1168,0.1103,0.1004,0.095
0.0327,0.1633,0.0826,0.1295,0.1064,0.1004,0.095
0.0953,0.0448,0.0311,0.0982,0.1275,0.1052,0.095
0.0286,0.2062,0.0361,0.0639,0.0558,0.1042,0.095
0.166,0.0366,0.1202,0.1278,0.1228,0.0945,0.095
0.0773,0.038,0.1278,0.0687,0.0558,0.1042,0.095
0.0327,0.1111,0.0895,0.0459,0.087,0.0579,0.095
0.228,0.0448,0.0597,0.0537,0.1228,0.1004,0.095
0.0666,0.0739,0.042,0.1104,0.0473,0.0579,0.095
0.0603,0.046,0.0509,0.0591,0.1103,0.0892,0.095
0.0515,0.1562,0.0808,0.119,0.0986,0.1106,0.095
0.0438,0.0424,0.1321,0.0591,0.1148,0.1106,0.095
0.0327,0.0663,0.0633,0.1086,0.0842,0.1106,0.095
0.0438,0.2062,0.1739,0.0654,0.1084,0.1106,0.095
0.0956,0.023,0.0604,0.1144,0.1056,0.1052,0.095
0.1266,0.1975,0.0528,0.1046,0.1069,0.1004,0.095
0.0956,0.1111,0.0424,0.1144,0.1056,0.0579,0.095
0.0684,0.2062,0.0808,0.0591,0.0999,0.1106,0.095
0.1507,0.1609,0.0747,0.0954,0.12,0.1052,0.095
0.1266,0.1629,0.0965,0.0616,0.1228,0.1042,0.095
0.018,0.0397,0.0895,0.1065,0.1001,0.0579,0.095
-0.0013,0.0366,0.0578,0.0654,0.0965,0.0945,0.095
